serial_scrambled,BSA21_final_wt,DVSex21,Ragecat,HHincomex,RClassGP,hedqual2x,MarStat6x,HhlChlGpdx,PMSx,HomoSexx,Partyfwx,Politicsx,Votedx,Spend1x,dolex,TAXSPENDx,EQOPPGAYx,EQOPPTx,CHOPWOMMx,EQOPPBLKx,TBirCertx,EqOpDisx,EqOpMhx,welfare2,leftrigh,libauth,NHSSatx,GPSatx,NHSFProbx,NHSAccx
1016642,0.570685309176045,Female,45-54,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,3.875,2.0,4.5,Not applicable,Not applicable,Not applicable,Not applicable
1021741,0.520241195243062,Female,25-34,Prefer not to answer,Semi-routine and routine occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Labour,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,1.5,3.0,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1002361,0.290819181943025,Female,35-44,"£2,561 - £4,350 per month",Managerial and professional occupations,Higher education below degree/A levels,Separated/divorced/dissolved civil partnership,Yes,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.0,2.4,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1004811,1.12240637301154,Female,65+,"£1,411 - £2,560 per month",Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Widowed/surviving partner from a civil partnership,No,Not wrong at all,Mostly wrong,Liberal Democrat,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,1.625,1.8,2.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1006601,0.675412418021433,Female,55-59,Prefer not to answer,Small employers and own account workers,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone far enough,2.75,4.0,2.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1001952,0.951158819761955,Male,65+,"Less than £1,410 per month",Lower supervisory and technical occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Mostly wrong,None,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,2.625,1.0,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1029841,0.773320263614992,Male,65+,"Less than £1,410 per month",Managerial and professional occupations,Higher education below degree/A levels,Single (never married/never in a civil partnership),No,Sometimes wrong,Sometimes wrong,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,2.625,3.4,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1007321,0.646530835975457,Male,65+,"Less than £1,410 per month",Lower supervisory and technical occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Rarely wrong,Always wrong,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Don't know,2.875,3.0,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1034821,0.783764332157602,Female,35-44,"£1,411 - £2,560 per month",Lower supervisory and technical occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,1.625,1.2,4.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1034822,2.04517645367692,Male,25-34,"£1,411 - £2,560 per month",Semi-routine and routine occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,1.875,1.4,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1044931,0.471011561713932,Female,55-59,Prefer not to answer,Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,Gone too far,3.375,2.6,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1044932,0.704665828231907,Male,55-59,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Gone too far,3.75,3.0,2.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1027901,0.99346123226891,Male,65+,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.625,1.0,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1012701,0.984745912453437,Male,65+,Prefer not to answer,Managerial and professional occupations,,Married/in a civil partnership/living with a partner,No,Sometimes wrong,Always wrong,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.375,1.4,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1035241,1.52459933705939,Male,65+,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Always wrong,Always wrong,Green Party,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Don't know,9.0,3.2,2.4,Not applicable,Not applicable,Not applicable,Not applicable
1035242,1.84069814553308,Female,65+,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Green Party,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,1.5,1.4,2.5,Not applicable,Not applicable,Not applicable,Not applicable
1001651,0.921622665836289,Female,65+,Prefer not to answer,Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.0,1.6,2.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1004641,0.323546232825769,Female,60-64,Prefer not to answer,Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Rarely wrong,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.125,2.6,2.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1035621,0.540678924676186,Female,25-34,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,4.0,4.2,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1035622,1.47920365845419,Male,25-34,"£4,351 per month or more",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone much too far,About right,4.0,3.8,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1010931,0.360302411325015,Male,65+,"£2,561 - £4,350 per month",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Sometimes wrong,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.375,3.2,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1010661,0.147271194821751,Female,55-59,"Less than £1,410 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Green Party,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,1.25,1.6,1.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1029331,0.784307207212776,Female,35-44,"Less than £1,410 per month",Managerial and professional occupations,Higher education below degree/A levels,Single (never married/never in a civil partnership),Yes,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.5,2.0,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1046192,1.03370437553028,Female,55-59,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Always wrong,Always wrong,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Gone much too far,4.25,4.6,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1011621,4.0556155510301,Male,18-24,"£2,561 - £4,350 per month",Not classifiable,Higher education below degree/A levels,Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.5,3.4,1.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1016242,0.979002131750511,Male,65+,"£2,561 - £4,350 per month",Managerial and professional occupations,No qualifications,Married/in a civil partnership/living with a partner,No,Not wrong at all,Always wrong,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.875,4.0,4.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1002431,0.795259252971657,Male,45-54,Prefer not to answer,Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Always wrong,Always wrong,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,3.0,1.6,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1002432,0.621020753137886,Female,35-44,Prefer not to answer,Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Always wrong,Always wrong,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Prefer not to answer,Prefer not to answer,3.0,3.0,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1035881,1.86251641685518,Female,25-34,"Less than £1,410 per month",Semi-routine and routine occupations,Higher education below degree/A levels,Separated/divorced/dissolved civil partnership,Yes,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.625,2.4,4.0,Not applicable,Not applicable,Not applicable,Not applicable
1005601,1.61120698940597,Male,35-44,"£2,561 - £4,350 per month",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Sometimes wrong,Green Party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,About right,4.5,3.8,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1002791,1.00990642340132,Female,35-44,"£2,561 - £4,350 per month",Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,2.625,2.0,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1004601,0.649323790738925,Female,65+,"£2,561 - £4,350 per month",Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Widowed/surviving partner from a civil partnership,No,Not wrong at all,It depends,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.5,1.2,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1032651,0.638412459125431,Male,45-54,"£1,411 - £2,560 per month",Semi-routine and routine occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Conservative,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Don't know,3.625,3.6,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1033571,0.387163182968276,Female,18-24,"£1,411 - £2,560 per month",Managerial and professional occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,1.625,1.2,1.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1042181,0.364628229922256,Female,55-59,"£2,561 - £4,350 per month",Managerial and professional occupations,Higher education below degree/A levels,Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,Conservative,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,4.125,3.0,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1042182,0.633415361604876,Female,25-34,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,4.375,3.0,2.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1016911,3.55825891039778,Male,18-24,"Less than £1,410 per month",Semi-routine and routine occupations,GCSE/O Level/Standard Grade or equivalent,Single (never married/never in a civil partnership),Yes,Mostly wrong,Rarely wrong,Other party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Gone much too far,2.25,2.6,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1016912,0.87972413052956,Female,45-54,"£2,561 - £4,350 per month",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.875,2.4,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1023931,0.523523075851565,Female,65+,Prefer not to answer,Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.625,4.0,4.5,Not applicable,Not applicable,Not applicable,Not applicable
1034161,0.79385330925437,Male,65+,"Less than £1,410 per month",Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Single (never married/never in a civil partnership),No,Always wrong,Always wrong,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Don't know,1.5,2.0,2.5,Not applicable,Not applicable,Not applicable,Not applicable
1009931,0.794277543527289,Female,60-64,"Less than £1,410 per month",Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.125,2.4,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1037701,0.979935767641289,Female,65+,"£1,411 - £2,560 per month",Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Rarely wrong,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.0,3.6,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1037702,0.762991809001264,Male,65+,Prefer not to answer,Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.5,2.2,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1003221,0.412248883157763,Female,35-44,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,None,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.75,3.8,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1003222,0.616097190349305,Male,45-54,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.125,1.4,2.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1025491,0.982905763652116,Male,55-59,Prefer not to answer,Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Other party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,3.625,1.4,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1031871,0.632085801422738,Female,65+,"£1,411 - £2,560 per month",Small employers and own account workers,Higher education below degree/A levels,Widowed/surviving partner from a civil partnership,No,Not wrong at all,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone far enough,3.875,2.8,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1045281,3.10193666810888,Male,45-54,Prefer not to answer,Not classifiable,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Sometimes wrong,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,1.875,1.8,4.5,Not applicable,Not applicable,Not applicable,Not applicable
1015221,1.12199436485225,Female,35-44,Prefer not to answer,Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Separated/divorced/dissolved civil partnership,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Gone too far,3.125,2.6,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1025301,0.90314206418489,Male,65+,"£1,411 - £2,560 per month",Small employers and own account workers,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Rarely wrong,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Gone too far,3.0,2.6,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1037331,2.35225701959746,Female,25-34,Prefer not to answer,Intermediate occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.0,2.2,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1006091,0.846843541025658,Female,25-34,"£4,351 per month or more",Don't know/Prefer not to answer,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,About right,3.75,3.0,4.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1026921,0.785437529222812,Female,65+,"Less than £1,410 per month",Intermediate occupations,,Married/in a civil partnership/living with a partner,No,Sometimes wrong,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not gone far enough,2.5,2.4,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1047731,0.826699178969568,Female,35-44,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,4.5,2.2,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1047732,1.99257092903449,Male,35-44,"£4,351 per month or more",Managerial and professional occupations,Higher education below degree/A levels,Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Labour,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,4.625,2.2,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1015711,0.61954151208889,Female,25-34,"£1,411 - £2,560 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,About right,3.5,2.2,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
